연도,시도,시군구,계약종별, 1월, 2월, 3월, 4월, 5월, 6월, 7월, 8월, 9월, 10월, 11월, 12월
2014,충청남도,서산시,주택용,18995408,19163365,16703626,17555455,16636488,16783297,16848405,18855975,17552773,16254171,17443450,18287483
2014,충청남도,서산시,일반용,31226321,30315255,26687351,24859762,22082131,22881604,25021019,27406386,25304022,22359895,23214126,27520230
2014,충청남도,서산시,교육용,2178978,1928959,1674049,1586195,1118157,1067369,1192775,1099061,1078087,1059856,1288045,2118013
2014,충청남도,서산시,산업용,496374981,457403846,496255246,459448267,502251679,524425000,553345107,534993880,511861763,538293683,532683196,557973830
2014,충청남도,서산시,농사용,9178998,8709068,7396620,5982754,6990109,9530142,9404775,10049447,10859106,8210657,20022885,8142761
2014,충청남도,서산시,가로등,1140597,1042852,993122,927385,860530,798007,802160,861761,933447,1040191,1114628,1160907
2014,충청남도,서산시,심 야,21907148,21561163,17353398,13695667,8935938,5141103,3111996,2804732,3013788,4482965,10098417,17327124
2014,충청남도,천안시,주택용,66537145,66852292,58923497,61559346,57390465,58922546,59671185,67661221,62695677,57546758,61404781,64069653
2014,충청남도,천안시,일반용,115737334,109578182,96873487,89761266,82874805,88739955,98264538,104630811,93150920,85358086,92515508,109341155
2014,충청남도,천안시,교육용,16012893,13727447,13195019,10424527,9079124,9775949,10661557,10003169,9877570,9218924,11327465,17180999
2014,충청남도,천안시,산업용,459039573,417952682,444701876,436448216,429454645,438214405,470646432,447898936,418830276,428856353,415513486,435914012
2014,충청남도,천안시,농사용,13509574,14006395,11730282,10112124,9358989,10314191,11342030,13447549,12125746,10757879,17394669,13112386
2014,충청남도,천안시,가로등,2662605,2513429,2309892,2286400,2128548,2033299,1976320,2087854,2231571,2431813,2597529,2675156
2014,충청남도,천안시,심 야,39896757,38606273,30146999,21689831,12758333,6991315,4820284,4318900,4913848,8075153,19697777,32386731
2014,충청남도,금산군,주택용,5751571,5860393,5062711,5357135,5077929,5032094,4867243,5329875,5153175,4960010,5456267,5678114
2014,충청남도,금산군,일반용,10057501,9741730,8454004,8096532,7342643,7522333,7795129,8715195,7943595,7351761,8082541,9358871
2014,충청남도,금산군,교육용,1516498,1296642,1311725,1123693,856446,773861,686771,689635,736503,832680,1073361,1555973
2014,충청남도,금산군,산업용,56616986,51801201,54723231,53963099,52141069,54260975,52852487,54448426,49345368,53159339,54006687,57962153
2014,충청남도,금산군,농사용,5255626,4929087,4278793,3303657,2620001,2738152,2740227,3777365,4405395,3882577,7121409,5107852
2014,충청남도,금산군,가로등,906377,819289,806342,784663,772089,758507,769760,802414,848627,898350,912183,938498
2014,충청남도,금산군,심 야,11040560,10818201,8533163,6221207,3736289,1945017,1192353,1056778,1398579,2405633,5587635,8908573
2014,충청남도,연기군,일반용,1437,1232,1253,843,1126,2099,2197,2626,2206,1792,1694,1544
2014,충청남도,계룡시,주택용,4629498,4586084,4011800,4160581,3940853,4029240,4137450,4451786,4104563,3917970,4270008,4456057
2014,충청남도,계룡시,일반용,10337646,9704881,8849120,8159880,7898093,8826751,10246664,9955425,9028890,8639465,9205688,10951939
2014,충청남도,계룡시,교육용,405689,390024,346690,241743,194371,210341,260308,192356,204507,197509,270982,500137
2014,충청남도,계룡시,산업용,4306794,4394126,4155323,4050588,4054356,4096793,4313139,4250373,4022206,4086346,4130773,4598493
2014,충청남도,계룡시,농사용,224028,213878,210350,141589,143210,143318,150254,236843,190540,169791,374325,254534
2014,충청남도,계룡시,가로등,231863,214124,189227,183451,164140,153454,155587,171181,186136,211604,237114,245428
2014,충청남도,계룡시,심 야,1251023,1129846,811413,543756,371867,389557,541159,503894,337118,415955,715353,1057164
2014,충청남도,논산시,주택용,13297669,13590302,11546951,12076060,11266859,11225384,11209493,12679323,11801682,10991759,12047422,12803808
2014,충청남도,논산시,일반용,22596095,22242766,18855497,17987239,15651559,16454562,18118065,20150547,18185901,16036256,17125050,20273657
2014,충청남도,논산시,교육용,2597271,2343766,2073937,2057525,1450269,1428096,1626246,1624499,1415198,1439251,1614464,2511906
2014,충청남도,논산시,산업용,44848757,41355445,43512653,45518889,43110955,43957598,46301053,43122430,41911026,42723538,42845923,45009319
2014,충청남도,논산시,농사용,21335300,21661929,21479900,13656125,12053082,12951060,12163559,13488904,12638649,10596392,19305193,17362445
2014,충청남도,논산시,가로등,1001994,886661,840086,768249,710839,658898,674566,731750,800046,901990,961097,1029187
2014,충청남도,논산시,심 야,19400330,19293494,14805964,11306683,6707301,3543695,2260730,2124000,2416089,3504345,8626251,14853029
2014,충청남도,부여군,주택용,7616473,7799464,6627544,6987401,6610763,6526430,6408128,7189515,6852191,6393263,6984565,7316782
2014,충청남도,부여군,일반용,10142618,9962607,8575543,8076979,7245028,7768929,8524956,9642428,8478811,7580694,8088159,9483318
2014,충청남도,부여군,교육용,1346769,1172621,1061598,921760,729247,702528,892352,854126,733544,739232,908016,1521952
2014,충청남도,부여군,산업용,10651743,10256851,10453592,10569549,9840598,10269745,10998393,10078979,10080050,11118909,10998568,11479324
2014,충청남도,부여군,농사용,17157764,17251795,14104349,10174867,8945724,10789640,9972088,12017373,11534476,8764894,14005545,13496651
2014,충청남도,부여군,가로등,927631,864066,849713,799205,738124,683420,689470,735152,796839,940273,941075,980302
2014,충청남도,부여군,심 야,13308467,13444771,10093703,7804569,4775776,2638534,1559273,1432564,1703602,2573018,5985317,10156296
2014,충청남도,서천군,주택용,6191920,6374086,5458466,5778000,5576289,5547830,5447267,6134129,5808226,5404727,5850970,6073383
2014,충청남도,서천군,일반용,10061460,9443578,8229558,8055393,7526579,7806118,8408034,9338084,8387829,7639677,8232904,9743805
2014,충청남도,서천군,교육용,703638,600175,544673,584298,365439,331920,366453,352039,332047,315010,384435,644178
2014,충청남도,서천군,산업용,63877126,58117343,65380015,63370393,63218603,63015422,65661131,61355631,58253704,63355998,62239106,66669415
2014,충청남도,서천군,농사용,30947505,33930365,33014007,25369149,5232746,4706725,4915690,6157266,7600497,5783203,13317701,21198742
2014,충청남도,서천군,가로등,767203,700834,667982,640764,655481,655969,636211,667038,732350,775158,795018,807301
2014,충청남도,서천군,심 야,12163440,12296650,9584972,7800418,5169138,2974426,1840409,1656890,1864105,2614155,5756360,9505112
2014,충청남도,청양군,주택용,3366612,3484718,2980170,3132840,2974272,2923666,2847534,3136283,3041249,2889062,3177189,3346616
2014,충청남도,청양군,일반용,4716234,4672344,3959883,3670740,3336493,3362360,3555623,4036882,3545704,3294597,3785723,4506729
2014,충청남도,청양군,교육용,716622,637083,537947,485976,321065,291456,323698,314876,297352,290945,367246,635122
2014,충청남도,청양군,산업용,7943761,7321486,7322488,7267582,6840449,7125710,7748103,7353956,7022538,7191473,7516692,7861044
2014,충청남도,청양군,농사용,4444153,4662687,4396705,3331845,3458053,4087766,4109565,5778719,6849147,4567924,7223378,4107531
2014,충청남도,청양군,가로등,505117,448641,442319,417227,397674,376223,381962,399325,423798,477906,508150,529495
2014,충청남도,청양군,심 야,6683780,6593226,5034429,3763711,2556217,1378581,880846,821022,957005,1434169,3130850,4972580
2014,충청남도,홍성군,주택용,10464622,10566008,8985617,9479137,9222566,8958233,9085778,10327774,9554755,9026587,9654488,10277520
2014,충청남도,홍성군,일반용,17339153,16681183,14479053,13586188,12360259,12945112,14331511,15484389,14022737,12720054,13475656,16356792
2014,충청남도,홍성군,교육용,2310321,1970273,1969179,2067981,1420192,1402186,1390742,1217480,1257980,1392058,1610604,2527592
2014,충청남도,홍성군,산업용,21340435,19845480,20038037,20612163,19445120,19637139,20582732,20022635,18628463,19614807,20037398,22348848
2014,충청남도,홍성군,농사용,12354445,12494398,11052967,8994067,8430760,8763433,9242833,12149078,11794900,9142632,19037402,11586012
