year,month,headquarter,hour_count,load_MWh,electricity_cost_won,emission_tCO2eq,emission_kgCO2eq
2022,12,충북본부,744,2350026,231103814200.0,980665.8498,980665849.8
2023,1,강원본부,744,1451120,141058397200.0,605552.376,605552376.0
2023,1,경기본부,744,7880817,786659102900.0,3288664.9341,3288664934.1
2023,1,경기북부본부,744,2172017,217577675300.0,906382.6941,906382694.1
2023,1,경남본부,744,2094536,206973577300.0,874049.8728,874049872.8
2023,1,경북본부,744,1181843,116288404300.0,493183.0839,493183083.9
2023,1,광주전남본부,744,3073376,303630699400.0,1282519.8048,1282519804.8
2023,1,남서울본부,744,2142338,219321331800.0,893997.6474,893997647.4
2023,1,대구본부,744,2949874,295025198700.0,1230982.4202,1230982420.2
2023,1,대전세종충남본부,744,4961653,490231517700.0,2070497.7969,2070497796.9
2023,1,부산울산본부,744,4901086,486105166800.0,2045223.1878,2045223187.8
2023,1,서울본부,744,1641476,167961567400.0,684987.9348,684987934.8
2023,1,인천본부,744,2886839,291796959400.0,1204677.9147,1204677914.7
2023,1,전북본부,744,1596209,157482319800.0,666098.0157,666098015.7
2023,1,제주본부,744,523796,51979051300.0,218580.07080000002,218580070.8
2023,1,충북본부,744,2273873,223616853900.0,948887.2029,948887202.9
2023,2,강원본부,672,1280564,124512962300.0,534379.3572,534379357.2
2023,2,경기본부,672,7149194,713263215600.0,2983358.6562,2983358656.2
2023,2,경기북부본부,672,1896640,189982083600.0,791467.872,791467872.0
2023,2,경남본부,672,1951049,192437791700.0,814172.7477000001,814172747.7
2023,2,경북본부,672,1078878,106035707800.0,450215.7894,450215789.4
2023,2,광주전남본부,672,2838623,279884845100.0,1184557.3779,1184557377.9
2023,2,남서울본부,672,1802429,183960971300.0,752153.6217,752153621.7
2023,2,대구본부,672,2717330,271174726200.0,1133941.8090000001,1133941809.0
2023,2,대전세종충남본부,672,4509822,444907246300.0,1881948.7206000001,1881948720.6
2023,2,부산울산본부,672,4534862,448880112200.0,1892397.9126,1892397912.6
2023,2,서울본부,672,1391807,142322052300.0,580801.0611,580801061.1
2023,2,인천본부,672,2593703,261711354200.0,1082352.2619,1082352261.9
2023,2,전북본부,672,1446056,142417222400.0,603439.1688,603439168.8
2023,2,제주본부,672,462488,45748615900.0,192996.2424,192996242.4
2023,2,충북본부,672,2070816,203700001000.0,864151.5168,864151516.8
2023,3,강원본부,744,1299455,93579943500.0,542262.5715,542262571.5
2023,3,경기본부,744,7265507,533179752600.0,3031896.0711,3031896071.1
2023,3,경기북부본부,744,1889088,139199758800.0,788316.4224,788316422.4
2023,3,경남본부,744,1989918,144957443700.0,830392.7814,830392781.4
2023,3,경북본부,744,1118210,81098463000.0,466629.033,466629033.0
2023,3,광주전남본부,744,2995637,217690410300.0,1250079.3201,1250079320.1
2023,3,남서울본부,744,1794584,134111021100.0,748879.9032000001,748879903.2
2023,3,대구본부,744,2844197,208681133100.0,1186883.4081000001,1186883408.1
2023,3,대전세종충남본부,744,4752412,345763144500.0,1983181.5276,1983181527.6
2023,3,부산울산본부,744,4669958,340332788100.0,1948773.4734,1948773473.4
2023,3,서울본부,744,1356055,101351957400.0,565881.7515,565881751.5
2023,3,인천본부,744,2582140,190921857000.0,1077527.022,1077527022.0
2023,3,전북본부,744,1496166,108674205300.0,624350.0718,624350071.8
2023,3,제주본부,744,460861,33533391900.0,192317.2953,192317295.3
2023,3,충북본부,744,2167141,157418296200.0,904347.9393,904347939.3
2023,4,강원본부,720,1203523,86852773200.0,502230.1479,502230147.9
